# Table 2 of DUNE DocDB 56 v3
# Parameters, allowed ranges, and results of genetic optimization of
# focusing system
"parameter", "units", "allowed_range_lower", "allowed_range_upper", "preferred_value_fhc", "preferred_value_rhc"
"horn 1 r1", "mm", 20, 50, 40, 25
"horn 1 r2", "mm", 35, 200, 166, 125
"horn 1 r3", "mm", 20, 75, 65, 22
"horn 1 r4", "mm", 20, 200, 167, 148
"horn 1 rOC", "mm", 200, 800, 632, 660
"horn 1 l1", "mm", 800, 2500, 1906, 1252
"horn 1 l2", "mm", 50, 1000, 218, 713
"horn 1 l3", "mm", 50, 1000, 911, 834
"horn 1 l4", "mm", 50, 1000, 969, 466
"horn 1 l5", "mm", 50, 1000, 281, 150
"horn 1 l6", "mm", 50, 1000, 487, 890
"horn 1 l7", "mm", 50, 1000, 979, 990
"horn 2 longitudinal scale", "", 0.5, 2, 1.39, 1.84
"horn 2 radial scale", "", 0.5, 2, 1.63, 1.64
"horn 2 radial offset", "mm", -78, 100, 54.6, 46
"horn 2 longitudinal position", 3000, 15000, 14503, 13181
"target length", "mm", 500, 2500, 2463, 2473
"target width", "mm", 9, 15, 10.5, 10.0
"proton energy", "GeV", 40, 130, 109, 116
"horn current", "kA", 150, 300, 297, 297
